Nom;Ref_AP;Longueur;Qty.
B2;UPN 80 x 45;740;1
B1;UPN 80 x 45;740;1
B4;Tole triangle interieure;5;1
B5;Fer plat 80 x 10;160;2
B3;fer plat 60 x 10;150;1
B6;fer plat 100 x 15;150;2
B7;fer plat 70 x 5;108;2
B8;Piton double vissé (Ø22 et Ø28);;2
B9;fer plat 70 x 5;70;2
B10;Tube Rectangulaire 100 x 50 x 3;590;1
B11;Douille à souder FT486192;;2
B12;fer plat 50 x 5;60;2
B13;fer plat 50 x 5;20;2
B14;Dent chargeur frontal 35x1200;;2
B15;goupille clips Ø10;;2
